Date,Epoch,TrainLoss,ValLoss,DecisionThreshold,SelectionScore,ValAcc,ValMacroF1,ValFakeF1,ValMinClassF1,ValRealPrecision,ValFakePrecision,ValBalancedAcc,ValRealRecall,ValFakeRecall,ValRecallGap,ASVspoofBalancedAcc,ASVspoofRealRecall,ASVspoofFakeRecall,InWildValBalancedAcc,InWildValRealRecall,InWildValFakeRecall,CheckpointGatePassed,CheckpointBlockers,ValEER,EER_Thr
2026-05-28 09:15:13,1,0.6896,0.6938,0.534536,-0.111262,0.5218,0.5218,0.5201,0.5201,0.5216,0.5219,0.5218,0.5253,0.5182,0.0071,0.5096,0.5275,0.4917,0.551,0.52,0.582,0,balanced_fake_recall=0.5182 < 0.8500; asvspoof_fake_recall=0.4917 < 0.8400; inwild_real_recall=0.5200 < 0.8500,0.481176,0.534037
2026-05-28 09:15:16,2,0.6808,0.6795,0.498625,-0.109382,0.5612,0.5597,0.5346,0.5346,0.5549,0.5691,0.5612,0.6182,0.5041,0.1141,0.55,0.6483,0.4517,0.588,0.546,0.63,0,balanced_fake_recall=0.5041 < 0.8500; balanced_recall_gap=0.1141 > 0.1000; asvspoof_fake_recall=0.4517 < 0.8400; inwild_real_recall=0.5460 < 0.8500,0.442059,0.497427
2026-05-28 09:15:20,3,0.6622,0.654,0.502042,0.017554,0.6256,0.6256,0.6279,0.6233,0.6272,0.6241,0.6256,0.6194,0.6318,0.0124,0.6338,0.6967,0.5708,0.606,0.434,0.778,0,balanced_fake_recall=0.6318 < 0.8500; asvspoof_fake_recall=0.5708 < 0.8400; inwild_real_recall=0.4340 < 0.8500,0.374412,0.502042
2026-05-28 09:15:23,4,0.6303,0.6089,0.510344,0.187,0.6647,0.6647,0.6637,0.6637,0.6637,0.6657,0.6647,0.6676,0.6618,0.0059,0.6629,0.7133,0.6125,0.669,0.558,0.78,0,balanced_fake_recall=0.6618 < 0.8500; asvspoof_fake_recall=0.6125 < 0.8400; inwild_real_recall=0.5580 < 0.8500,0.337059,0.510342
2026-05-28 09:15:26,5,0.5655,0.5353,0.416245,0.543135,0.7688,0.7688,0.7688,0.7688,0.7688,0.7688,0.7688,0.7688,0.7688,0.0,0.7471,0.7775,0.7167,0.821,0.748,0.894,0,balanced_fake_recall=0.7688 < 0.8500; asvspoof_fake_recall=0.7167 < 0.8400; inwild_real_recall=0.7480 < 0.8500,0.231176,0.416675
2026-05-28 09:15:30,6,0.4952,0.5064,0.491755,0.608437,0.7656,0.7655,0.7623,0.7623,0.7584,0.7731,0.7656,0.7794,0.7518,0.0276,0.7438,0.7508,0.7367,0.818,0.848,0.788,0,balanced_fake_recall=0.7518 < 0.8500; asvspoof_fake_recall=0.7367 < 0.8400; inwild_real_recall=0.8480 < 0.8500,0.242353,0.475891
2026-05-28 09:15:33,7,0.4589,0.4901,0.459415,0.647459,0.7791,0.7791,0.7792,0.7791,0.7793,0.779,0.7791,0.7788,0.7794,0.0006,0.7579,0.7567,0.7592,0.83,0.832,0.828,0,balanced_fake_recall=0.7794 < 0.8500; asvspoof_fake_recall=0.7592 < 0.8400; inwild_real_recall=0.8320 < 0.8500,0.221176,0.462504
2026-05-28 09:15:37,8,0.4338,0.491,0.359568,0.668722,0.7847,0.7847,0.7846,0.7846,0.7844,0.785,0.7847,0.7853,0.7841,0.0012,0.7583,0.7558,0.7608,0.848,0.856,0.84,0,balanced_fake_recall=0.7841 < 0.8500; asvspoof_fake_recall=0.7608 < 0.8400,0.215294,0.359568
2026-05-28 09:15:40,9,0.3877,0.4373,0.599428,0.727555,0.8221,0.822,0.8193,0.8193,0.8127,0.832,0.8221,0.8371,0.8071,0.03,0.8083,0.8233,0.7933,0.855,0.87,0.84,0,balanced_fake_recall=0.8071 < 0.8500; asvspoof_fake_recall=0.7933 < 0.8400,0.185294,0.565775
2026-05-28 09:15:43,10,0.3597,0.3613,0.391189,0.743163,0.8479,0.8479,0.8472,0.8472,0.8445,0.8515,0.8479,0.8529,0.8429,0.01,0.8442,0.8758,0.8125,0.857,0.798,0.916,0,balanced_fake_recall=0.8429 < 0.8500; asvspoof_fake_recall=0.8125 < 0.8400; inwild_real_recall=0.7980 < 0.8500,0.154706,0.376576
2026-05-28 09:15:47,11,0.3842,0.4151,0.33996,0.691065,0.8003,0.8003,0.7993,0.7993,0.7973,0.8033,0.8003,0.8053,0.7953,0.01,0.7783,0.7875,0.7692,0.853,0.848,0.858,0,balanced_fake_recall=0.7953 < 0.8500; asvspoof_fake_recall=0.7692 < 0.8400; inwild_real_recall=0.8480 < 0.8500,0.202353,0.332463
2026-05-28 09:15:50,12,0.3443,0.3882,0.433571,0.733009,0.8226,0.8226,0.8214,0.8214,0.8183,0.8271,0.8226,0.8294,0.8159,0.0135,0.8063,0.8217,0.7908,0.862,0.848,0.876,0,balanced_fake_recall=0.8159 < 0.8500; asvspoof_fake_recall=0.7908 < 0.8400; inwild_real_recall=0.8480 < 0.8500,0.180882,0.424675
2026-05-28 09:15:54,13,0.3275,0.36,0.381397,0.76746,0.8403,0.8403,0.8402,0.8402,0.8401,0.8405,0.8403,0.8406,0.84,0.0006,0.8213,0.8392,0.8033,0.886,0.844,0.928,0,balanced_fake_recall=0.8400 < 0.8500; asvspoof_fake_recall=0.8033 < 0.8400; inwild_real_recall=0.8440 < 0.8500,0.159706,0.38142
2026-05-28 09:15:57,14,0.3031,0.3389,0.415841,0.790734,0.855,0.855,0.855,0.855,0.8552,0.8548,0.855,0.8547,0.8553,0.0006,0.8396,0.8608,0.8183,0.892,0.84,0.944,0,asvspoof_fake_recall=0.8183 < 0.8400; inwild_real_recall=0.8400 < 0.8500,0.145588,0.41847
2026-05-28 09:16:00,15,0.2844,0.3244,0.34532,0.801561,0.8565,0.8565,0.8565,0.8565,0.8565,0.8565,0.8565,0.8565,0.8565,0.0,0.8421,0.86,0.8242,0.891,0.848,0.934,0,asvspoof_fake_recall=0.8242 < 0.8400; inwild_real_recall=0.8480 < 0.8500,0.143529,0.345504
2026-05-28 09:16:04,16,0.2693,0.3347,0.477996,0.807376,0.8571,0.8571,0.8571,0.857,0.8575,0.8566,0.8571,0.8565,0.8576,0.0012,0.8383,0.8517,0.825,0.902,0.868,0.936,0,asvspoof_fake_recall=0.8250 < 0.8400,0.143824,0.481581
